date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:12	34401/34401	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2010:21:12%20GMT	https://myeasytronbot.com/?l=es	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/indexb8c2.html	(from )
12:21:12	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5bcee62b7bc00%22	https://myeasytronbot.com/robots.txt		(from )
12:21:12	3239/3239	---M--	200	added ('OK')	image/png	etag:%22ca7-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-57x57.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-57x57.png	(from https://myeasytronbot.com/?l=es)
12:21:12	3396/3396	---M--	200	added ('OK')	image/png	etag:%22d44-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-60x60.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-60x60.png	(from https://myeasytronbot.com/?l=es)
12:21:12	3923/3923	---M--	200	added ('OK')	image/png	etag:%22f53-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-72x72.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-72x72.png	(from https://myeasytronbot.com/?l=es)
12:21:12	4133/4133	---M--	200	added ('OK')	image/png	etag:%221025-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-76x76.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-76x76.png	(from https://myeasytronbot.com/?l=es)
12:21:13	8490/8490	---M--	200	added ('OK')	image/png	etag:%22212a-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-114x114.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-114x114.png	(from https://myeasytronbot.com/?l=es)
12:21:13	9059/9059	---M--	200	added ('OK')	image/png	etag:%222363-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-120x120.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-120x120.png	(from https://myeasytronbot.com/?l=es)
12:21:13	11653/11653	---M--	200	added ('OK')	image/png	etag:%222d85-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-144x144.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-144x144.png	(from https://myeasytronbot.com/?l=es)
12:21:13	12468/12468	---M--	200	added ('OK')	image/png	etag:%2230b4-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-152x152.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-152x152.png	(from https://myeasytronbot.com/?l=es)
12:21:13	15741/15741	---M--	200	added ('OK')	image/png	etag:%223d7d-5c7ebfc8e9d00%22	https://myeasytronbot.com/apple-icon-180x180.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/apple-icon-180x180.png	(from https://myeasytronbot.com/?l=es)
12:21:14	16158/16158	---M--	200	added ('OK')	image/png	etag:%223f1e-5c7ebfc8e9d00%22	https://myeasytronbot.com/android-icon-192x192.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/android-icon-192x192.png	(from https://myeasytronbot.com/?l=es)
12:21:14	2147/2147	---M--	200	added ('OK')	image/png	etag:%22863-5c7ebfc8e9d00%22	https://myeasytronbot.com/favicon-32x32.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/favicon-32x32.png	(from https://myeasytronbot.com/?l=es)
12:21:14	6759/6759	---M--	200	added ('OK')	image/png	etag:%221a67-5c7ebfc8e9d00%22	https://myeasytronbot.com/favicon-96x96.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/favicon-96x96.png	(from https://myeasytronbot.com/?l=es)
12:21:14	1307/1307	---M--	200	added ('OK')	image/png	etag:%2251b-5c7ebfc8e9d00%22	https://myeasytronbot.com/favicon-16x16.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/favicon-16x16.png	(from https://myeasytronbot.com/?l=es)
12:21:14	482/482	---M--	200	added ('OK')	application/json	etag:%221e2-5caf891a89d00%22	https://myeasytronbot.com/manifest.json	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/manifest.json	(from https://myeasytronbot.com/?l=es)
12:21:15	11653/11653	---M--	200	added ('OK')	image/png	etag:%222d85-5c7ebfc8e9d00%22	https://myeasytronbot.com/ms-icon-144x144.png	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/ms-icon-144x144.png	(from https://myeasytronbot.com/?l=es)
12:21:15	159490/159490	---M-Z	200	added ('OK')	text/css	etag:%2226f02-5ad586ba11780-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/vendor/bootstrap.min.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/vendor/bootstrap.min.css	(from https://myeasytronbot.com/?l=es)
12:21:15	13389/13389	---M-Z	200	added ('OK')	text/css	etag:%22344d-5a4fe15909a80-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/vendor/slider.min.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/vendor/slider.min.css	(from https://myeasytronbot.com/?l=es)
12:21:15	90101/90101	---M-Z	200	added ('OK')	text/css	etag:%2215ff5-5c9b7b2b5a480-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/main.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/main.css	(from https://myeasytronbot.com/?l=es)
12:21:16	11732/11732	---M-Z	200	added ('OK')	text/css	etag:%222dd4-5a4fe15909a80-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/vendor/icons.min.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/vendor/icons.min.css	(from https://myeasytronbot.com/?l=es)
12:21:16	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-5a4fe15909a80-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/vendor/animation.min.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/vendor/animation.min.css	(from https://myeasytronbot.com/?l=es)
12:21:16	20611/20611	---M-Z	200	added ('OK')	text/css	etag:%225083-5a4fe15909a80-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/vendor/gallery.min.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/vendor/gallery.min.css	(from https://myeasytronbot.com/?l=es)
12:21:17	7806/7806	---M-Z	200	added ('OK')	text/css	etag:%221e7e-5a86118af77c0-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/vendor/cookie-notice.min.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/vendor/cookie-notice.min.css	(from https://myeasytronbot.com/?l=es)
12:21:17	3304/3304	---M-Z	200	added ('OK')	text/css	etag:%22ce8-5cad2ad5c3f00-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/estilos.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/estilos.css	(from https://myeasytronbot.com/?l=es)
12:21:17	260/260	---M-Z	200	added ('OK')	text/css	etag:%22104-5b3a93f930d40-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/animacion.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/animacion.css	(from https://myeasytronbot.com/?l=es)
12:21:17	4867/4867	---M-Z	200	added ('OK')	text/css	etag:%221303-5c9b077aff2c0-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/default.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/default.css	(from https://myeasytronbot.com/?l=es)
12:21:18	649/649	---M-Z	200	added ('OK')	text/css	etag:%22289-5c9b07b15b300-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/theme-yellow.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/theme-yellow.css	(from https://myeasytronbot.com/?l=es)
12:21:18	1090/1090	---M-Z	200	added ('OK')	text/css	etag:%22442-5b3a785c8e840-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/anima.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/anima.css	(from https://myeasytronbot.com/?l=es)
12:21:18	955/955	---M-Z	200	added ('OK')	text/css	etag:%223bb-5c9af3c23eb40-gzip%22	https://myeasytronbot.com/frontend-app/assets/css/accordion.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/myeasytronbot.com/frontend-app/assets/css/accordion.css	(from https://myeasytronbot.com/?l=es)
12:21:18	24258/24258	---MCZ	200	added ('OK')	text/css	etag:W/%227e5f06f6c2cedb00915524acc3d44d48%22	https://cdn.plyr.io/3.4.6/plyr.css	C:/Users/nolipc/Desktop/CLONARWEB/Prueba%202/cdn.plyr.io/3.4.6/plyr.css	(from https://myeasytronbot.com/?l=es)
